year,state,state_po,incumbent_party,incumbent_candidate,challenger,Rerunning,incumbent2pv,PopV_Inc,PopV_Dem,democrat2pv,Cooks_PVI,d_unemployment,gallup_approv_jun,incumb,dem,College
1948,Alabama,AL,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0,0.5232558,0.5232558,0,,,40,1,1,
1948,Alaska,AK,,,,0,,,,,,,40,1,1,
1948,Arizona,AZ,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.551229508,0.5232558,0.5232558,0.551229508,,,40,1,1,
1948,Arkansas,AR,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.746070133,0.5232558,0.5232558,0.746070133,,,40,1,1,
1948,California,CA,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.502639916,0.5232558,0.5232558,0.502639916,,,40,1,1,
1948,Colorado,CO,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.527439024,0.5232558,0.5232558,0.527439024,,,40,1,1,
1948,Connecticut,CT,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.491786448,0.5232558,0.5232558,0.491786448,,,40,1,1,
1948,Delaware,DE,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.493927126,0.5232558,0.5232558,0.493927126,,,40,1,1,
1948,District of Columbia,DC,,,,0,,,,,,,40,1,1,
1948,Florida,FL,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.59223301,0.5232558,0.5232558,0.59223301,,,40,1,1,
1948,Georgia,GA,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.768647282,0.5232558,0.5232558,0.768647282,,,40,1,1,
1948,Hawaii,HI,,,,0,,,,,,,40,1,1,
1948,Idaho,ID,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.513874615,0.5232558,0.5232558,0.513874615,,,40,1,1,
1948,Illinois,IL,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.504531722,0.5232558,0.5232558,0.504531722,,,40,1,1,
1948,Indiana,IN,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.495934959,0.5232558,0.5232558,0.495934959,,,40,1,1,
1948,Iowa,IA,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.513789581,0.5232558,0.5232558,0.513789581,,,40,1,1,
1948,Kansas,KS,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.454175153,0.5232558,0.5232558,0.454175153,,,40,1,1,
